Country,Trade Balance 2000,Trade Balance 2001,Trade Balance 2002,Trade Balance 2003,Trade Balance 2004,Trade Balance 2005,Trade Balance 2006,Trade Balance 2007,Trade Balance 2008,Trade Balance 2009,Trade Balance 2010,Trade Balance 2011,Trade Balance 2012,Trade Balance 2013,Trade Balance 2014,Exports 2000,Exports 2001,Exports 2002,Exports 2003,Exports 2004,Exports 2005,Exports 2006,Exports 2007,Exports 2008,Exports 2009,Exports 2010,Exports 2011,Exports 2012,Exports 2013,Exports 2014,Imports 2000,Imports 2001,Imports 2002,Imports 2003,Imports 2004,Imports 2005,Imports 2006,Imports 2007,Imports 2008,Imports 2009,Imports 2010,Imports 2011,Imports 2012,Imports 2013,Imports 2014
Afghanistan,7400000,5000000,76700000,4700000,125500000,194900000,372100000,420900000,396900000,1392500000,2070200000,2897900000,1460900000,1363600000,720400000,8200000,5800000,80000000,60800000,150400000,262200000,417400000,495300000,481600000,1508600000,2155500000,2923500000,1497500000,1409100000,792400000,800000,800000,3300000,56100000,24900000,67300000,45300000,74400000,84700000,116100000,85300000,25600000,36600000,45500000,72000000
Albania,13100000,8200000,9000000,5300000,8700000,-18700000,3700000,24500000,28200000,33000000,16100000,21100000,35200000,51600000,-17700000,20900000,15500000,14800000,9700000,20100000,18500000,27600000,34000000,40000000,48000000,46400000,47500000,54100000,74400000,51300000,7800000,7300000,5800000,4400000,11400000,37200000,23900000,9500000,11800000,15000000,30300000,26400000,18900000,22800000,69000000
Algeria,-1862500000,-1664100000,-1375800000,-4261000000,-6437900000,-9279000000,-14354000000,-16163700000,-18111600000,-9610000000,-13323300000,-13013900000,-8631000000,-2982000000,-2011900000,861800000,1037800000,984400000,487400000,971600000,1167400000,1101900000,1652400000,1243200000,1107800000,1194700000,1595400000,1362300000,1848900000,2617000000,2724300000,2701900000,2360200000,4748400000,7409500000,10446400000,15455900000,17816100000,19354800000,10717800000,14518000000,14609300000,9993300000,4830900000,4628900000
Andorra,9900000,8000000,10200000,7900000,10700000,9800000,6300000,14100000,14800000,8900000,7200000,4600000,1800000,4400000,2600000,10200000,8200000,11000000,8200000,11600000,10500000,9000000,14500000,15700000,9400000,7700000,5200000,2200000,5800000,3800000,300000,200000,800000,300000,900000,700000,2700000,400000,900000,500000,500000,600000,400000,1400000,1200000
Angola,-3330000000,-2820000000,-2748700000,-3776500000,-3927300000,-7555400000,-10169100000,-11227500000,-16892100000,-7915800000,-10646000000,-12095100000,-8333500000,-7299600000,-3680700000,225300000,275900000,374000000,490600000,593900000,929000000,1550100000,1280100000,2019200000,1423100000,1293600000,1502400000,1490400000,1443300000,2039100000,3555300000,3095900000,3122700000,4267100000,4521200000,8484400000,11719200000,12507600000,18911300000,9338900000,11939600000,13597500000,9823900000,8742900000,5719800000
Anguilla,28200000,18300000,18900000,20200000,19900000,28400000,38900000,87900000,76700000,47200000,33100000,26400000,23800000,27000000,57900000,29900000,20100000,19900000,21500000,20800000,32200000,43100000,92500000,81000000,52900000,35600000,31200000,27400000,31000000,63200000,1700000,1800000,1000000,1300000,900000,3800000,4200000,4600000,4300000,5700000,2500000,4800000,3600000,4000000,5300000
Antigua and Barbuda,135700000,91800000,77900000,114500000,121300000,186000000,187800000,231700000,177600000,147600000,152800000,148200000,195000000,135500000,208800000,138000000,95500000,81400000,127300000,125700000,190400000,193600000,240400000,182500000,156900000,158300000,154800000,204600000,145100000,216600000,2300000,3700000,3500000,12800000,4400000,4400000,5800000,8700000,4900000,9300000,5500000,6600000,9600000,9600000,7800000
Argentina,1596100000,906800000,-1601900000,-732500000,-357400000,-461700000,796900000,1369000000,1714200000,1678800000,3592400000,5415400000,5918300000,5710300000,6582600000,4695600000,3920200000,1585400000,2437300000,3388100000,4121900000,4775900000,5855900000,7536300000,5568900000,7395100000,9917300000,10267900000,10353900000,10825700000,3099500000,3013400000,3187300000,3169800000,3745500000,4583600000,3979000000,4486900000,5822100000,3890100000,3802700000,4501900000,4349600000,4643600000,4243100000
Armenia,32600000,17000000,81100000,65200000,44600000,19300000,33900000,77500000,108700000,-500000,37900000,1700000,-24500000,-10100000,-35800000,55600000,49900000,111800000,102800000,90700000,65500000,80400000,110600000,151400000,77100000,113400000,94300000,64100000,91200000,60500000,23000000,32900000,30700000,37600000,46100000,46200000,46500000,33100000,42700000,77600000,75500000,92600000,88600000,101300000,96300000
Aruba,-1244100000,-757500000,-309100000,-599500000,-1392000000,-2360800000,-2334600000,-2466400000,-2499000000,-832500000,521900000,-2548600000,-148100000,1058200000,1297600000,291400000,276500000,464600000,355000000,384400000,558900000,510500000,528800000,680300000,445700000,541400000,713000000,678700000,1100100000,1357900000,1535500000,1034000000,773700000,954500000,1776400000,2919700000,2845100000,2995200000,3179300000,1278200000,19500000,3261600000,826800000,41900000,60300000
